number,value,params_dense_0,params_dense_1,params_dense_2,params_drop_conv_0,params_drop_conv_1,params_drop_conv_2,params_drop_conv_3,params_drop_dense_0,params_drop_dense_1,params_drop_dense_2,params_filters_0,params_filters_1,params_filters_2,params_filters_3,params_lr,params_num_conv_layers,params_num_dense_layers,params_weight_decay,params_width_0,params_width_1,params_width_2,params_width_3,user_attrs_Denisovan_recall,user_attrs_Human_recall,user_attrs_Neanderthal_recall,user_attrs_raw_val_acc
0,0.5549811728786204,64,,,0.2522179367875782,0.343164242627918,0.4551372145001692,0.4065455691384028,0.5438223301440345,,,256,32,128.0,128.0,0.0008809834133766492,4,1,0.0003902065550741602,9,19,19.0,11.0,0.4302,0.3563,0.8784,0.5567
1,0.5312576621440831,128,,,0.15783160302080076,0.4718145117575323,,,0.5425389389846145,,,128,64,,,0.0025041742978689024,2,1,0.0012436158556164965,19,9,,,0.3703,0.3715,0.8521,0.5334
2,0.5297244700620376,256,,,0.4021721132026924,0.5655548135840519,0.42556809132103457,0.32940094728512515,0.38893680628192145,,,128,32,32.0,256.0,0.004153978956726444,4,1,0.008709322537189966,11,15,5.0,15.0,0.4552,0.2135,0.9204,0.5307
3,0.534733545149204,128,,,0.5325068543265387,0.4549553189321083,,,0.5914633938166521,,,32,256,,,0.0004444981768260983,2,1,0.0021416672842958498,5,7,,,0.4611,0.2359,0.9072,0.5357
4,0.5707080488643083,64,64.0,,0.3351488338815529,0.35197476763036994,0.12461747894941463,0.11442567784274374,0.591523164463706,0.3756663204440118,,256,64,128.0,128.0,5.149626505467298e-05,4,2,0.007706637630945661,11,19,9.0,15.0,0.4602,0.4382,0.8137,0.5722
5,0.5642884592657453,256,,,0.3202764350912354,0.19953446040436104,0.5649697529782294,,0.4036682711233266,,,64,32,64.0,,0.0007280988617279108,3,1,0.00030066709880880084,11,19,15.0,,0.4486,0.441,0.8033,0.5659
6,0.5336729115101148,256,128.0,256.0,0.27684988590211634,0.4687228814620782,0.2537955867428824,,0.4423085551680189,0.3392561489586433,0.3877043268714271,32,128,128.0,,5.820778396696826e-05,3,3,0.00020420073174684162,9,7,5.0,,0.4515,0.2775,0.8721,0.5348
7,0.5390158250180422,128,,,0.4620240372282689,0.36700327973355096,,,0.5876232435894999,,,256,128,,,0.0021805773718384215,2,1,0.00012310834590584469,15,19,,,0.3424,0.4762,0.7985,0.5417
8,0.551765743792723,64,,,0.14966444824883127,0.4793127894309994,,,0.5817452793114934,,,64,256,,,2.215848000831999e-05,2,1,0.0005103989806986275,11,11,,,0.439,0.4538,0.7625,0.5533
9,0.5550144790063983,256,,,0.10251650474044002,0.26116709406320615,0.30673872625760046,0.2632404234706117,0.3266122222867599,,,64,128,64.0,32.0,0.00011538960115874308,4,1,0.002215578652564984,7,15,7.0,7.0,0.4327,0.4782,0.7541,0.5567
10,0.5225432803416187,64,64.0,128.0,0.5614573521352355,0.10607685000396788,0.14633103005498438,0.12783543217328436,0.4932955902838326,0.4759316916862904,0.5970271505312885,256,64,256.0,128.0,1.0156188772617928e-05,4,3,0.008862842094473503,7,5,9.0,15.0,0.5864,0.1563,0.8249,0.5217
11,0.564421961327922,64,256.0,,0.3278359967620911,0.19620558852059916,0.5553166590336563,,0.405319336660828,0.33188641354293225,,64,32,64.0,,0.0001646415175753008,3,2,0.0005244916980211095,11,19,15.0,,0.4086,0.4734,0.8113,0.5665
12,0.5753726830800375,64,256.0,,0.38239282532319274,0.25269669440799,0.11144403248529058,,0.33152218511422443,0.33834344322148485,,64,64,64.0,,0.00016202881767476642,3,2,0.0034202150272933866,11,19,15.0,,0.4902,0.4022,0.8337,0.5765
13,0.5753837296124171,64,64.0,,0.41278733920835387,0.32068389726538055,0.11392790300678668,,0.31096282166384376,0.37902838822722035,,256,64,128.0,,5.477263397174561e-05,3,2,0.004367970485681268,11,19,11.0,,0.501,0.3834,0.8417,0.5764
14,0.5675315324376983,64,256.0,,0.43416996467612173,0.2733971281921743,0.20219457272575383,,0.3054507234262375,0.5881013774659554,,256,64,32.0,,0.000168300978893573,3,2,0.004166755028439035,5,5,11.0,,0.4619,0.4342,0.8065,0.569
15,0.532684385637665,64,64.0,,0.4741353525695999,0.25598449405871426,0.10832050669820407,,0.3474232781942017,0.4372690830585451,,64,64,256.0,,3.792810269070237e-05,3,2,0.0035914160214074132,19,11,11.0,,0.4573,0.2815,0.8593,0.5337
16,0.562111293203113,64,256.0,64.0,0.3907370435136871,0.1174456746061234,0.19207154925985082,,0.35979679297882633,0.4003437494546864,0.3248543074783953,128,64,64.0,,0.0003544148430643185,3,3,0.0037346803643610554,15,9,11.0,,0.4952,0.3962,0.7949,0.563
17,0.5147132872520851,64,128.0,,0.5991222532496803,0.4009879960174214,0.2943237479318429,,0.3050758898385695,0.30602494184291595,,32,64,128.0,,9.960085104311275e-05,3,2,0.0010716989097772028,11,19,15.0,,0.5489,0.2483,0.7469,0.5143
18,0.5414863625561853,64,64.0,,0.25549706048518034,0.30442354417501055,,,0.3658083104801023,0.4837675066334396,,64,64,,,1.5872761596620377e-05,2,2,0.0019482363951191023,11,19,,,0.4677,0.2835,0.8733,0.5425
19,0.5674870687571146,128,256.0,256.0,0.506576245068763,0.19028322619686944,0.20465157990336796,,0.45176967339182017,0.3811522655273518,0.5270339355542024,256,256,64.0,,2.756728338502431e-05,3,3,0.005485639363586157,11,19,7.0,,0.4686,0.3854,0.8485,0.5688
20,0.5445189965107945,64,256.0,,0.38540485309954464,0.595527241631034,0.3616631291995349,,0.3322041531068118,0.4188441889712582,,64,64,128.0,,0.0002383274838220191,3,2,0.0015940815776079886,9,9,19.0,,0.3753,0.4838,0.7745,0.5468
21,0.5664430881819146,64,64.0,,0.3435082664222122,0.34654400427612586,0.10379817527203347,0.5984491070926179,0.4864070320013106,0.3680400451660445,,256,64,128.0,64.0,6.0951891167522385e-05,4,2,0.005393427434998841,11,19,9.0,5.0,0.4602,0.3543,0.8848,0.5679
22,0.5645828854353026,64,64.0,,0.3020767660004786,0.4166701965632484,0.15628961347142098,0.10062331740530331,0.5119602439466315,0.3599153237654916,,256,64,128.0,128.0,6.101929631127963e-05,4,2,0.009848234270844693,11,19,9.0,9.0,0.4307,0.4078,0.8553,0.5664
23,0.5762778326126164,64,64.0,,0.37308563640155146,0.30768179688592523,0.10254711806371739,,0.3884266887963191,0.3049076788255383,,256,64,128.0,,4.477589188718224e-05,3,2,0.0029119925756385494,11,19,15.0,,0.4981,0.427,0.8037,0.5773
24,0.5729235724840982,64,64.0,,0.4299319568496877,0.3015870685648176,0.24004086176673717,,0.3813223493211425,0.3054475219186146,,256,64,128.0,,0.00010459964946164635,3,2,0.0028973161431377057,11,19,15.0,,0.5065,0.3719,0.8405,0.5738
25,0.5473730541103009,64,64.0,,0.36902925414700144,0.240505175969573,0.16649795682409002,,0.42758166238389994,0.32990438341302764,,256,64,32.0,,3.0099908222563746e-05,3,2,0.0026470705546941657,5,5,15.0,,0.4394,0.3235,0.8792,0.5488
26,0.5458127175341164,64,128.0,64.0,0.22370251052573983,0.15504694251909146,0.1011579380288272,,0.32762567007412824,0.301506612972877,0.4584860864764752,128,64,256.0,,1.3813282617299685e-05,3,3,0.000839505047918997,7,7,11.0,,0.4123,0.3359,0.8892,0.5476
27,0.5622279756707619,64,256.0,,0.4250848724900902,0.3132429902339048,0.2363774639480401,,0.35023911765854826,0.3469845264793799,,32,128,64.0,,0.0005964447333797663,3,2,0.005639530628999162,19,15,15.0,,0.484,0.3487,0.8541,0.5633
28,0.5419807920230492,256,64.0,,0.4825461153477738,0.23766148803657902,,,0.3070167764761458,0.5441315598493666,,256,256,,,0.007942920144739875,2,2,0.000775698967986777,15,11,,,0.4348,0.2911,0.9,0.5434
