timestamp,model,dataset,class,precision,recall,f1,support,accuracy,mcc,macro_f1,weighted_f1
20260510_022611,cnn,DenisovanvsNeanderthal,Denisovan,0.9181,0.6066,0.7305,905,0.7833,0.5955,0.7747,0.7761
20260510_022611,cnn,DenisovanvsNeanderthal,Neanderthal,0.7199,0.9492,0.8188,964,0.7833,0.5955,0.7747,0.7761
20260510_022851,cnn,HumanvsNeanderthal,Human,0.7517,0.6846,0.7166,964,0.7293,0.4603,0.7287,0.7287
20260510_022851,cnn,HumanvsNeanderthal,Neanderthal,0.7105,0.7739,0.7408,964,0.7293,0.4603,0.7287,0.7287
20260510_023333,cnn,multiclass,Human,0.5139,0.499,0.5063,964,0.5731,0.3676,0.5606,0.5617
20260510_023333,cnn,multiclass,Denisovan,0.6841,0.4026,0.5069,909,0.5731,0.3676,0.5606,0.5617
20260510_023333,cnn,multiclass,Neanderthal,0.5703,0.8081,0.6687,964,0.5731,0.3676,0.5606,0.5617
20260510_023555,cnn,bottleneck,Human,0.6209,0.7459,0.6777,964,0.6379,0.2784,0.6323,0.6332
20260510_023555,cnn,bottleneck,Denisovan,0.6648,0.5254,0.587,925,0.6379,0.2784,0.6323,0.6332
20260510_023912,cnn,longerbp,Human,0.7019,0.477,0.568,2631,0.5894,0.2169,0.5884,0.5857
20260510_023912,cnn,longerbp,Denisovan,0.519,0.7359,0.6087,2018,0.5894,0.2169,0.5884,0.5857
20260510_024010,cnn,original,Human,0.7349,0.6157,0.6701,30059,0.642,0.2907,0.6394,0.6449
20260510_024010,cnn,original,Denisovan,0.5509,0.6798,0.6086,20847,0.642,0.2907,0.6394,0.6449
