timestamp,model,dataset,class,precision,recall,f1,support,accuracy,mcc,macro_f1,weighted_f1
20260510_151211,rnn,bottleneck,Human,0.6204,0.7459,0.6773,964,0.6374,0.2774,0.6317,0.6327
20260510_151211,rnn,bottleneck,Denisovan,0.6644,0.5243,0.5861,925,0.6374,0.2774,0.6317,0.6327
20260510_151425,rnn,DenisovanvsNeanderthal,Denisovan,0.9139,0.6099,0.7316,905,0.7833,0.5941,0.775,0.7763
20260510_151425,rnn,DenisovanvsNeanderthal,Neanderthal,0.7209,0.9461,0.8183,964,0.7833,0.5941,0.775,0.7763
20260510_151855,rnn,HumanvsNeanderthal,Human,0.7426,0.6525,0.6946,964,0.7132,0.4295,0.7121,0.7121
20260510_151855,rnn,HumanvsNeanderthal,Neanderthal,0.6901,0.7739,0.7296,964,0.7132,0.4295,0.7121,0.7121
20260510_152236,rnn,longerbp,Human,0.6182,0.7632,0.6831,2631,0.5993,0.1607,0.5691,0.5841
20260510_152236,rnn,longerbp,Denisovan,0.5553,0.3855,0.4551,2018,0.5993,0.1607,0.5691,0.5841
20260510_152459,rnn,original,Human,0.6153,0.0502,0.0928,30059,0.4206,0.0113,0.3336,0.29
20260510_152459,rnn,original,Denisovan,0.4108,0.9548,0.5744,20847,0.4206,0.0113,0.3336,0.29
20260510_152931,rnn,multiclass,Human,0.5259,0.4004,0.4547,964,0.5643,0.3557,0.5506,0.5509
20260510_152931,rnn,multiclass,Denisovan,0.6315,0.4675,0.5373,909,0.5643,0.3557,0.5506,0.5509
20260510_152931,rnn,multiclass,Neanderthal,0.5524,0.8195,0.66,964,0.5643,0.3557,0.5506,0.5509
20260510_180826,danq,DenisovanvsNeanderthal,Denisovan,0.8816,0.642,0.743,905,0.7849,0.5869,0.779,0.7802
20260510_180826,danq,DenisovanvsNeanderthal,Neanderthal,0.7322,0.9191,0.8151,964,0.7849,0.5869,0.779,0.7802
20260510_181203,danq,longerbp,Human,0.6066,0.8628,0.7124,2631,0.6057,0.1668,0.5429,0.5652
20260510_181203,danq,longerbp,Denisovan,0.602,0.2706,0.3733,2018,0.6057,0.1668,0.5429,0.5652
20260510_181246,danq,multiclass,Human,0.5662,0.3195,0.4085,964,0.5791,0.3827,0.5579,0.5575
20260510_181246,danq,multiclass,Denisovan,0.5956,0.5622,0.5784,909,0.5791,0.3827,0.5579,0.5575
20260510_181246,danq,multiclass,Neanderthal,0.5742,0.8548,0.687,964,0.5791,0.3827,0.5579,0.5575
